arm,run_id,iter,started_at,ended_at,tts_seconds,lint_ok,test_ok,lint_duration_s,test_duration_s,sync_duration_s,ci_pipeline_id,ci_workflow_id,ci_lint_job_num,ci_test_job_num,git_sha,notes,ci_workflow_credits,ci_gate_credits,ci_cost_usd,sidecar_credits_est,sidecar_cost_usd,llm_tokens,llm_cost_usd
ci,20260527-222903,1,2026-05-27T22:29:39Z,2026-05-27T22:31:05Z,86,pass,pass,33.0,45.0,,40c4cc0a-9b6b-4f02-9466-bdfe5836a118,e5a4612f-4c7b-4757-b1c4-b0978062769c,7567,7570,f2ff658,,24,24,0.0144,,,1655,0.067789
ci,20260527-222903,2,2026-05-27T22:31:34Z,2026-05-27T22:32:13Z,39,fail,pass,19.0,28.0,,b7c2bc11-5943-40ea-8b83-7590bb545a8f,bc480708-8ddc-4af7-9bae-bb77e2a9ea11,7572,7574,72342bd,,16,16,0.0096,,,847,0.038224
ci,20260527-222903,3,2026-05-27T22:32:56Z,2026-05-27T22:34:06Z,70,pass,pass,36.0,47.0,,e2d18590-bfab-4389-b928-6fc4fb313af0,036b3726-2406-4a9b-a0b9-397efdaae398,7580,7578,1302b94,,23,23,0.0138,,,1395,0.071438
ci,20260527-222903,4,2026-05-27T22:35:06Z,2026-05-27T22:36:00Z,54,pass,pass,27.0,31.0,,0f8e0165-05e2-4562-87e4-c16558f8d5c7,7b271b9a-350a-4c2e-9b82-7a56c6ef4a39,7582,7583,6d46b99,,18,18,0.0108,,,2559,0.130243
ci,20260527-222903,5,2026-05-27T22:36:41Z,2026-05-27T22:37:35Z,54,pass,fail,31.0,41.0,,c1677146-b49d-4d30-9d14-68490ca1397b,edbbb63f-876a-4ea2-b1b2-cb942abbf129,7590,7588,56b2ccd,,19,19,0.0114,,,1491,0.064339
ci,20260527-222903,6,2026-05-27T22:38:14Z,2026-05-27T22:39:24Z,69,pass,pass,31.0,33.0,,33dca237-5ec2-4656-8f4b-744058be11be,29ac60d4-de53-42b5-bf98-e676963a6212,7592,7593,831a48c,,20,20,0.012,,,1337,0.06689
ci,20260527-222903,7,2026-05-27T22:39:50Z,2026-05-27T22:40:59Z,69,fail,fail,55.0,32.0,,2c63196a-8d59-47f7-8afd-8ede04b31979,b4329768-635b-4991-bfb1-1b568c42e126,7598,7599,0ffd7e8,,23,23,0.0138,,,977,0.040708
ci,20260527-222903,8,2026-05-27T22:42:04Z,2026-05-27T22:42:58Z,54,pass,pass,26.0,29.0,,8e3579fb-0a08-42d6-b8b0-be354fd60031,d7797054-fb9c-4fc0-a587-7f70a9f96b34,7603,7602,89b5167,,19,19,0.0114,,,2814,0.128441
ci,20260527-222903,9,2026-05-27T22:44:07Z,2026-05-27T22:45:17Z,69,pass,pass,28.0,25.0,,b45ea243-bd7f-4478-a830-0b9d9d2b72e9,8460f4fd-ee14-4f60-bf6a-df6579b8a9dd,7610,7609,66d9489,,21,21,0.0126,,,2119,0.093404
ci,20260527-222903,10,2026-05-27T22:46:22Z,2026-05-27T22:48:03Z,100,pass,pass,36.0,30.0,,fd5a74aa-1364-4d8d-a0af-611644a57ff9,c44e2cc7-88b2-4074-9311-7dbe54ff0815,7614,7612,bab9920,,24,24,0.0144,,,2664,0.109318
