arm,run_id,iter,started_at,ended_at,tts_seconds,lint_ok,test_ok,lint_duration_s,test_duration_s,sync_duration_s,ci_pipeline_id,ci_workflow_id,ci_lint_job_num,ci_test_job_num,git_sha,notes,ci_workflow_credits,ci_gate_credits,ci_cost_usd,sidecar_credits_est,sidecar_cost_usd,llm_tokens,llm_cost_usd
ci,20260527-214223,1,2026-05-27T21:43:15Z,2026-05-27T21:44:42Z,87,pass,pass,46.0,33.0,,1304d84f-84bc-4891-9c10-88724239d6c4,bea54d3c-ee6c-4353-b131-b70a5685500a,7457,7459,0ce167b,,25,25,0.015,,,2047,0.088996
ci,20260527-214223,2,2026-05-27T21:45:23Z,2026-05-27T21:46:03Z,39,fail,pass,20.0,32.0,,80cdf13e-f58c-4fee-a4f7-657cbd6fda6c,575dbd8d-149f-4c09-b04a-f683c56e7d77,7463,7462,d8ee297,,17,17,0.0102,,,1316,0.055877
ci,20260527-214223,3,2026-05-27T21:46:57Z,2026-05-27T21:48:21Z,84,pass,pass,46.0,40.0,,c22c2be4-00a8-4351-b340-ac7850ab2869,981c68e3-92f5-4782-bad8-0d8038404a48,7470,7467,b85d13c,,28,28,0.0168,,,1400,0.067147
ci,20260527-214223,4,2026-05-27T21:49:40Z,2026-05-27T21:51:20Z,99,pass,pass,32.0,26.0,,4964194d-4a2b-4991-b362-e04194153046,bfbf3ef7-e269-41c9-8d23-6416eef2510c,7472,7474,ff1e05b,,26,26,0.0156,,,2693,0.135662
ci,20260527-214223,5,2026-05-27T21:52:07Z,2026-05-27T21:53:01Z,53,pass,fail,34.0,31.0,,20d0fc4b-854b-4527-8b91-7e563336489c,47c33968-1354-421f-a8f6-e59b26c711b5,7477,7480,1b1d9d1,,19,19,0.0114,,,1507,0.06443
ci,20260527-214223,6,2026-05-27T21:53:45Z,2026-05-27T21:55:26Z,100,pass,pass,45.0,71.0,,696bdd54-a549-4330-89d8-5066926e9e09,5bf98929-6784-4c32-97f4-850b47f624fe,7484,7482,2d3a56b,,29,29,0.0174,,,1677,0.077754
ci,20260527-214223,7,2026-05-27T21:55:59Z,2026-05-27T21:56:54Z,54,fail,fail,28.0,44.0,,7c325559-4508-4030-aded-a90faf1d20d8,8ba14bf4-3ef6-474c-be8c-6762faeea410,7490,7488,4616134,,19,19,0.0114,,,903,0.039406
ci,20260527-214223,8,2026-05-27T21:58:27Z,2026-05-27T21:59:37Z,69,pass,pass,31.0,27.0,,123fdf2d-25b8-47d1-9e17-e42c0fc8ede9,f1b626da-ce8b-42d4-bd07-9012fc079e29,7492,7495,6797525,,20,20,0.012,,,3883,0.20376
ci,20260527-214223,9,2026-05-27T22:01:24Z,2026-05-27T22:02:33Z,69,pass,pass,33.0,32.0,,22607f91-fd57-4fbe-bdab-94ec1abcda9e,e1858787-d4ac-490d-8531-c54f2c041820,7498,7500,3c3846a,,25,25,0.015,,,2281,0.09634
ci,20260527-214223,10,2026-05-27T22:04:52Z,2026-05-27T22:06:01Z,69,pass,pass,27.0,30.0,,4fe39371-40a8-408e-9a44-609137f967e8,13b711d5-c800-4b69-8d97-71027387ead9,7503,7502,1aa6033,,18,18,0.0108,,,5324,0.190401
